ka,NP1,JP-kanji,JP-rubi,NP-sentence,JP-question,exa,renban,S0,S3,S5,S7,S2,S4,N2,N4,N6,N8,,,,,,,,,
1,शौक,趣味,しゅみ,मेरो शौक चलचित्र हेर्ने हो,私の（　）は、映画をみることです,私の趣味は、映画をみることです,1,1,,,,,,,,,,,,,,,,,,
1,मलाई चासो छ,興味,きょうみ,मलाई जापानी चलचित्रहरूमा रुचि छ,日本の映画に（　）があります,日本の映画に興味があります,2,1,,,,,,,,,,,,,,,,,,
1,उपन्यास,小説,しょうせつ,मलाई उपन्यास मन पर्छ,私は（　）が好きです,私は小説が好きです,3,1,,,,,,,,,,,,,,,,,,
1,सपना,夢,ゆめ,भविष्यको लागि तपाईंको सपना के हो,将来の（　）は何ですか,将来の夢は何ですか,4,1,,,,,,,,,,,,,,,,,,
1,भविष्य,将来,しょうらい,म भविष्यमा डाक्टर बन्न चाहन्छु,（　）、医者になりたいです,将来、医者になりたいです,5,1,,,,,,,,,,,,,,,,,,
1,सवारी साधन,乗り物,のりもの,मेरो भाइलाई कार मन पर्छ,弟は（　）が好きです,弟は乗り物が好きです,6,1,,,,,,,,,,,,,,,,,,
1,पार्टटाइम काम,,あるばいと,मेरी बहिनी एक सुपरमार्केटमा  पार्टटाइम काम गर्छिन्।,妹はスーパーで（　）をしています,妹はスーパーでアルバイトをしています,7,1,,,,,,,,,,,,,,,,,,
1,राम्रो,上手い,うまい,मेरी बहिनी चित्रकला मा राम्रो छ,姉は絵が（　）です,妹は絵が上手いです,8,1,,,,,,,,,,,,,,,,,,
1,बल,力,ちから,मेरो भाइ मेरो बुबा भन्दा बलियो छ,兄は父より（　）が強いです,兄は父より力が強いです,9,1,,,,,,,,,,,,,,,,,,
1,आयात,輸入,ゆにゅう,हामी जापानबाट कार आयात गर्दैछौं।,日本から車を（　）しています,日本から車を輸入しています,10,1,,,,,,,,,,,,,,,,,,
1,उत्पादनकर्ता,生産,せいさん,मेरो देशले स्याउ उत्पादन गर्छ,私の国では、りんごを（　）しています,私の国では、りんごを生産しています,11,1,,,,,,,,,,,,,,,,,,
1,व्यापार,貿易,ぼうえき,मेरो देश जापान संग व्यापार गर्दछ,私の国は、日本と（　）をしています,私の国は、日本と貿易をしています,12,1,,,,,,,,,,,,,,,,,,
2,सौन्दर्य सैलून,美容院,びよういん,"मेरो छुट्टीको दिन, मैले हेयर सैलुनमा मेरो कपाल काटें।",休みの日に、（　）で髪を切りました,休みの日に、美容院で髪を切りました,13,1,,,,,,,,,,,,,,,,,,
2,सामान्यतया,大抵,たいてい,म सामान्यतया आइतबार बिहान हिँड्छु।,日曜日の朝は、（　）散歩をします,日曜日の朝は、大抵散歩をします,14,1,,,,,,,,,,,,,,,,,,
2,खेल,,げーむ,"दिनको समयमा, हामी हाम्रो कोठामा खेल खेल्छौं।",昼は、部屋で（　）をします,昼は、部屋でゲームをします,15,1,,,,,,,,,,,,,,,,,,
2,कार्यक्रम,番組,ばんぐみ,राति आफ्नो मनपर्ने टिभी कार्यक्रम हेर्छु।,夜は、好きなテレビの（　）を見ます,夜は、好きなテレビの番組を見ます,16,1,,,,,,,,,,,,,,,,,,
2,प्रसारण,放送,ほうそう,कार्यक्रम बिहान ९ बजेबाट प्रसारण हुनेछ ।,その番組の（　）は、朝９時からです,その番組の放送は、朝９時からです,17,1,,,,,,,,,,,,,,,,,,
2,कडा,厳しい,きびしい,शिक्षक कडा हुनुहुन्छ ।,先生は（　）人です,先生は厳しい人です,18,1,,,,,,,,,,,,,,,,,,
2,दयालु,親切な,しんせつ,शिक्षक दयालु हुनुहुन्छ ।,先生は（　）です,先生は親切です,19,1,,,,,,,,,,,,,,,,,,
2,सुन्दर,美しい,うつくしい,Tanaka-सान एक सुन्दर व्यक्ति हो,田中さんは（　）人です,田中さんは美しい人です,20,1,,,,,,,,,,,,,,,,,,
2,गम्भीर रूपमा,真面目に,まじめに,श्री टनाका गम्भीरतापूर्वक काम गर्नुहुन्छ।,田中さんは（　）働きます,田中さんは真面目に働きます,21,1,,,,,,,,,,,,,,,,,,
2,शान्त,大人しい,おとなしい,त्यो बच्चा शान्त बच्चा हो।,あの子は（　）子です,あの子は大人しい子です,22,1,,,,,,,,,,,,,,,,,,
2,राम्रो सग,,しっかり,त्यो बच्चाले जे काम पनि राम्रो सग गरिरहेको छ ।,あの子は（　）います,あの子はしっかりしています,23,1,,,,,,,,,,,,,,,,,,
2,अचम्म लाग्यो,驚く,おどろく,म अचम्ममा परें कि ऊ बच्चा भए पनि राम्रो सग गरिरहेको छ ।,子供なのにしっかりしているので、（　）,子供なのにしっかりしているので、驚きました,24,1,,,,,,,,,,,,,,,,,,
3,सन्चो,元気な,げんきな,तपाईलाई कस्तो छ,お（　）ですか,お元気ですか,25,1,,,,,,,,,,,,,,,,,,
3,"कृपाले,",お陰様で,おかげさまで,"कृपाले,  , म ठीक छु।",（　）、元気です。,お陰様で、元気です。,26,1,,,,,,,,,,,,,,,,,,
3,"बित्नु , मर्नु",亡くなる,なくなる,गत वर्ष मेरो हजुरआमा बित्नुभयो।,去年、祖母が（　）ました,去年、祖母が亡くなりました,27,1,,,,,,,,,,,,,,,,,,
3,बानी पर्नु,慣れる,なれる,मलाई जापानी जीवनमा बानी परेको छ,日本の生活に（　）ましたか,日本の生活に慣れました,28,1,,,,,,,,,,,,,,,,,,
3,"हालै, आजभोलि",最近,さいきん,म आजभोलि मेरो पार्टटाइम काममा व्यस्त छु।,（　）、アルバイトで忙しいです,最近、アルバイトで忙しいです,29,1,,,,,,,,,,,,,,,,,,
3,बानी,習慣,しゅうかん,मलाई हरेक दिन हिँड्ने बानी छ।,毎日、散歩するのが（　）です,毎日、散歩するのが習慣です,30,1,,,,,,,,,,,,,,,,,,
3,झगडा,喧嘩する,けんかする,मेरो साथीसँग झगडा भयो।,友達と（　）をしてしまいました,友達と喧嘩をしてしまいました,31,1,,,,,,,,,,,,,,,,,,
3,एक्लो,寂しい,さびしい,म मेरा साथीहरूसग भेट　नभएर एक्लो भयको छु ।,友達と会えなくて、（　）です,友達と会えなくて、寂しいです,32,1,,,,,,,,,,,,,,,,,,
3,भ्रमण गर्नु,訪ねる,なずねる,साथीको घर गएँ,友達の家を（　）ました,友達の家を訪ねました,33,1,,,,,,,,,,,,,,,,,,
3,अनुपस्थिति,留守,るす,मेरो साथी घरमा थिएन ।,友達は（　）でした,友達は留守でした,34,1,,,,,,,,,,,,,,,,,,
3,म चिन्तित छु,心配な,しんぱいな,म मेरो साथीको बारेमा चिन्तित छु,私は友達が（　）です,私は友達が心配です,35,1,,,,,,,,,,,,,,,,,,
3,आश्चर्यचकित हुनु,,びっくりする,मेरो साथी चर्चित हुँदा म छक्क परें।,友達が有名になって、（　）しました,友達が有名になって、びっくりしました,36,1,,,,,,,,,,,,,,,,,,
4,उपहार,お祝い,おいわい,तपाइँ तपाइँको जन्मदिन को लागी के किन्नु हुन्छ?,誕生日の（　）に何を買いますか,誕生日のお祝いに何を買いますか,37,1,,,,,,,,,,,,,,,,,,
4,विचार,,あいでぃあ,तपाईंसँग कुनै राम्रो विचार छ?,何がいい（　）はありませんか,何がいいアイディアはありませんか,38,1,,,,,,,,,,,,,,,,,,
4,उपहार,贈り物,おくりもの,तपाईलाई राम्रो उपहार के हो जस्तो लाग्छ?,（　）は、何がいいと思いますか,贈り物は、何がいいと思いますか,39,1,,,,,,,,,,,,,,,,,,
4,उपहार दिनुहोस्,,ぷれぜんとする,बुबालाई उपहारस्वरूप लुगा दिनेछु।,父への（　）は、服にします,父へのプレゼントするは、服にします,40,1,,,,,,,,,,,,,,,,,,
4,परामर्श,相談する,そうだんする,मैले मेरी आमासँग नीलो वा कालो　 कुन राम्रो हो भनेर छलफल गरें।,青と黒とどちらがいいか、母と（　）します,青と黒とどちらがいいか、母と相談しました,41,1,,,,,,,,,,,,,,,,,,
4,पुग्दैन,足りない,たりない,"मसँग पर्याप्त पैसा छैन, त्यसैले सस्तो तिर जाऔं।",お金が（　）から、安い方にしましょう,お金が足りないから、安い方にしましょう,42,1,,,,,,,,,,,,,,,,,,
4,खुशी हुनु,喜ぶ,よろこぶ,उपहार पाएपछि बुबा खुसी हुनुहुन्थ्यो।,父はプレゼントをもらって（　）ました,父はプレゼントをもらって喜びました,43,1,,,,,,,,,,,,,,,,,,
4,राम्रो,素敵な,すてきな,कति　राम्रो ज्याकेट हो,（　）上着ですね,素敵な上着ですね,44,1,,,,,,,,,,,,,,,,,,
4,अरु कसैले दिनु,,くれる,मेरी छोरीले मलाई यो पोशाक दिनुभयो,娘が私にこの服を（　）ました,娘が私にこの服をくれました,45,1,,,,,,,,,,,,,,,,,,
4,निमन्त्रणा गर्नु,招待する,しょうたいする,पार्टीमा आमन्त्रित,パーティーに（　）されました,パーティーに招待されました,46,1,,,,,,,,,,,,,,,,,,
4,आफुले दिनु,差し上げる,さしあげる,मैले शिक्षकलाई उपहार दिएँ,先生に贈り物を（　）ました,先生に贈り物を差し上げるました,47,1,,,,,,,,,,,,,,,,,,
