ka,NP1,JP-kanji,JP-rubi,NP-sentence,JP-question,exa,S1,S3,S5,S7,S2,S4,N2,N4,N6,N8
1,म,私,わたし,,,,,,,,,,,,,
1,"तँ, तिमी, तपाईं",,あなた,,,,,,,,,,,,,
1,"त्यो मान्छे, त्यो व्यक्ति（ सम्मानित）",あの人／あの方,あのひと／あのかた,,,,,,,,,,,,,
1,～जी（कुराकानी गर्दा नामको पछाडि जोडिन्छ）,,～さん,,,,,,,,,,,,,
1,बालबालिकाको लागि,,～ちゃん,,,,,,,,,,,,,
1,～नागरिक（उदाहरण: アメリカじん）,〜人,～じん,,,,,,,,,,,,,
1,"शिक्षक, डाक्टर（आफूलाई भनेको होइन）",先生,せんせい,,,,,,,,,,,,,
1,"शिक्षक, प्रशिक्षक",教師,きょうし,,,,,,,,,,,,,
1,विद्यार्थी,学生,がくせい,,,,,,,,,,,,,
1,कम्पनीको कर्मचारी,会社員,かいしゃいん,,,,,,,,,,,,,
1,～को कर्मचारी（कम्पनी नामसँग प्रयोग）,写真,しゃいん,,,,,,,,,,,,,
1,बैंकको कर्मचारी,銀行員,ぎんこういん,,,,,,,,,,,,,
1,डाक्टर,医者,いしゃ,,,,,,,,,,,,,
1,अनुसन्धानकर्ता,研究者,けんきゅうしゃ,,,,,,,,,,,,,
1,विश्वविद्यालय,大学,だいがく,,,,,,,,,,,,,
1,अस्पताल,病院,びょういん,,,,,,,,,,,,,
1,को（ सम्मानित）,誰,だれ（どなた）,,,,,,,,,,,,,
1,"～वर्ष, उमेर",歳,～さい,,,,,,,,,,,,,
1,कति वर्ष（ सम्मानित）,何歳,なんさい（おいくつ）,,,,,,,,,,,,,
1,हो,,はい,,,,,,,,,,,,,
1,होइन,,いいえ,,,,,,,,,,,,,
2,यो (बोल्नेको नजिकको वस्तु देखाउँदा प्रयोग गरिन्छ),,これ,,,,,,,,,,,,,
2,त्यो (श्रोतालाई नजिकको वस्तु देखाउँदा प्रयोग गरिन्छ),,それ,,,,,,,,,,,,,
2,उ त्यो (बोल्ने र श्रोताको टाढाको वस्तु देखाउँदा प्रयोग गरिन्छ),,あれ,,,,,,,,,,,,,
2,यो〜,,この,,,,,,,,,,,,,
2,त्यो〜,,その,,,,,,,,,,,,,
2,उ त्यो〜,,あの,,,,,,,,,,,,,
2,"किताब, पुस्तक",本,ほん,,,,,,,,,,,,,
2,शब्दकोश,辞書,じしょ,,,,,,,,,,,,,
2,पत्रिका,雑誌,ざっし,,,,,,,,,,,,,
2,"अखबार, समाचार पत्र",新聞,しんぶん,,,,,,,,,,,,,
2,नोट बुक,,ノート,,,,,,,,,,,,,
2,"डायरी, डाइरी",手帳,てちょう,,,,,,,,,,,,,
2,"निमन्त्रण कार्ड, परिचय पत्र",名刺,めいし,,,,,,,,,,,,,
2,(क्रेडिट) कार्ड,,カード,,,,,,,,,,,,,
2,सिसाकलम,鉛筆,えんぴつ,,,,,,,,,,,,,
2,बल पेन,,ボールペン,,,,,,,,,,,,,
2,लिड पेन्सिल,,シャープペンシル,,,,,,,,,,,,,
2,साँचो,,かぎ,,,,,,,,,,,,,
2,घडी,時計,とけい,,,,,,,,,,,,,
2,छाता,傘,かさ,,,,,,,,,,,,,
2,"झोला, ब्याग",,かばん,,,,,,,,,,,,,
2,सिडी,,CD,,,,,,,,,,,,,
2,टेलिभिजन,,テレビ,,,,,,,,,,,,,
2,रेडियो,,ラジオ,,,,,,,,,,,,,
2,क्यामेरा,,カメラ,,,,,,,,,,,,,
2,कम्प्युटर,,コンピューター,,,,,,,,,,,,,
2,"कार, गाडी",車,くるま,,,,,,,,,,,,,
2,टेबल,机,つくえ,,,,,,,,,,,,,
2,"कुर्सी, मेच",椅子,いす,,,,,,,,,,,,,
2,चकलेट,,チョコレート,,,,,,,,,,,,,
2,कफी,,コーヒー,,,,,,,,,,,,,
2,उपहार,お土産,おみやげ,,,,,,,,,,,,,
2,अंग्रेजी भाषा,,えいご,,,,,,,,,,,,,
2,जापानी भाषा,日本語,にほんご,,,,,,,,,,,,,
2,〜भाषा,〜語,〜ご,,,,,,,,,,,,,
2,के,何,なん,,,,,,,,,,,,,
2,ए,,そう,,,,,,,,,,,,,
3,यहाँ,,ここ,,,,,,,,,,,,,
