ka,JP-rubi,JP-kanji,english,exa,EN-sentence,NP1,NP-sentence,JP-question,カンデルサイン,S1,S3,S5,S7,S2,S4,N2,N4,N6,N8,,,,,,,,,
1,あい,愛,love,子を思う親の愛は深い。,The love of parents for their children is deep.,प्रेम,बच्चाहरू प्रतिको आमाबुबाको प्रेम गहिरो हुन्छ।,子を思う親の（　）は深い,１,,,,,,,,,,,,,,,,,,,
2,あいじょう,愛情,affection,A先生は厳しいが、生徒に愛情を持っている。,"Though Teacher A is strict, he has affection for his students.",स्नेह,"शिक्षक A कडा हुनुहुन्छ, तर विद्यार्थीहरूप्रति स्नेह राख्नुहुन्छ।",A先生は厳しいが、生徒に（　）を持っている,１,,,,,,,,,,,,,,,,,,,
3,アイデア/アイディア,,idea,新しい製品のアイデアを思い付いた。,I came up with an idea for a new product.,विचार,मैले नयाँ उत्पादनको लागि एउटा विचार सोचें।,新しい製品の（　）を思い付いた,１,,,,,,,,,,,,,,,,,,,
4,あくしゅ,握手（する）,handshake,パーティーで外国の方と握手した。,I shook hands with a foreigner at the party.,हात मिलाउनु,मैले पार्टीमा एक विदेशीसँग हात मिलाएँ।,パーティーで外国の方と（　）した,１,,,,,,,,,,,,,,,,,,,
5,アクセス,,access,大学のホームページにアクセスした。,I accessed the university homepage.,पहुँच,मैले विश्वविद्यालयको वेबसाइटमा पहुँच प्राप्त गरें।,大学のホームページに（　）した,１,,,,,,,,,,,,,,,,,,,
6,アクセント,,accent,アクセントに注意して発音してください。,Please pronounce it paying attention to accent.,उच्चारण,कृपया उच्चारणमा ध्यान दिएर बोल्नुहोस्।,（　）に注意して発音してください,１,,,,,,,,,,,,,,,,,,,
7,あちらこちら,,here and there,朝、鳥の声があちらこちらから聞こえる。,"In the morning, you can hear birds singing here and there.",यताउति,"बिहानमा, तपाईंले चराहरू यताउतिबाट गाउँदै गरेको सुन्न सक्नुहुन्छ।",朝、鳥の声が（　）から聞こえる,１,,,,,,,,,,,,,,,,,,,
8,あつまり,集まり,gathering,昨日、大学の情報を交換する集まりがあった。,Yesterday there was a gathering to exchange university information.,सभा,"हिजो, विश्वविद्यालयको जानकारी आदान-प्रदान गर्ने सभा थियो।",昨日、大学の情報を交換する（　）があった,１,,,,,,,,,,,,,,,,,,,
9,あてな,宛名,address,宛名が間違っていて、手紙が届かなかった。,"There was a mistake with the address, and the letter never arrived.",ठेगाना,"ठेगानामा गल्ती भएकोले, पत्र कहिल्यै आइपुगेन।",（　）が間違っていて、手紙が届かなかった,１,,,,,,,,,,,,,,,,,,,
10,あとかたづけ,後片付け（する）,cleanup/clearing away,料理は好きだが、食事の後片付けは苦手だ。,"While I like cooking, I don't like cleaning up afterwards.",सफा गर्ने काम,"मलाई खाना पकाउन मन पर्छ, तर खाना पछि सफा गर्ने काम मन पर्दैन।",料理は好きだが、食事の（　）は苦手だ,１,,,,,,,,,,,,,,,,,,,
